O95848 P28331
Q5SW79 P31930
P46096 Q9Y5A7
Q92625 Q9BRT6
P57105 O88935
P49458 A0FGR8
Q15233 Q14165
P17152 Q6P2M8
Q6PJT7 Q99JH7
Q6WCQ1 Q9NPC7
Q8WVM7 P99999
Q13049 P07237
P43243 P21333
Q9H0D6 Q5JTJ3
Q9UM00 P62913
P51532 P17600
Q8N660 P09874
Q12959 P22695
P43155 Q7Z6K1
Q9Y2X7 P35250
Q9Y3D2 P12814
Q92609 Q9DB20
P14927 O75525
Q12996 Q12840
P23284 O60281
Q06055 O95197
P11766 Q14241
Q02878 P46977
Q9Y468 Q8N5M9
Q13438 O43768
Q9HBM0 O15243
O75448 Q9NV70
Q92542 Q2M3W8
P0CG48 Q15392
Q9UJC5 Q96B97
Q9UKK9 Q86YM7
Q13263 Q9Y5S2
P48449 P84103
Q9Y6I3 Q99JH7
Q6NTF9 O75044
Q96P70 P17302
Q13137 Q8NCW6
O75643 P09455
Q3KR37 P49841
Q80W04 O75663
P68104 Q9UHG2
Q9NV79 P57088
P57088 O75688
P04181 Q03157
Q9UKM9 Q0VGU4
Q15438 Q8NBB4
Q5VZ66 P04843
Q92522 O43572
Q15084 P50502
P39656 Q13123
P20930 O75746
P50281 O75746
Q49A88 Q9P2B2
P04406 Q99714
P43307 Q5RKV6
P51608 P08133
O15126 P48449
Q12996 A0FGR8
Q96EU6 Q13085
Q14152 Q9P0U4
P62857 Q9GZT6
Q562R1 O15235
P10632 P07437
Q9GZX5 Q12882
Q86XK3 Q13114
Q96SB8 Q9BV35
P35573 Q96K83
Q9ULM3 Q9UPW8
Q5S007 Q9NXR8
Q9BY11 P84243
Q9Y3D6 P60228
Q9BRH9 Q6IQ19
A2AJT9 P04925
P52179 Q8IY18
Q9Y483 Q9DB20
P09211 Q16799
Q8NEK5 Q96I99
Q9Y3D2 O95714
Q9Y3Y2 Q12756
P33778 P16519
Q96EK5 Q9ULD5
P78318 Q9Y4Y9
Q9UHD9 Q60932
Q09666 O15020
Q96CS2 Q8VEM8
Q9BX70 O43181
P10645 Q96M27
P07195 Q07864
P62191 P57105
Q05639 Q9Y3D2
Q8TF30 O75746
Q8TBA6 A1L020
Q60932 Q9H9H5
P10911 Q9Y6D0
Q14165 P16403
P00432 Q8NCW5
Q6NX49 Q15181
Q2KHR2 Q9NTX5
P52948 P11586
Q8N660 Q9P0J1
Q6KCM7 Q9H0E2
Q8NCW5 Q92597
Q2M3W8 O00408
Q14195 Q13948
P09496 Q15427
Q9UNH6 Q9BTV4
Q6PIJ6 Q8BHN3
P68368 P33316
Q12882 Q15029
Q8K3H7 P53396
Q9Y287 P50213
P55197 Q99996
Q86U28 Q8IYX8
Q96F05 Q15847
Q13509 Q8IU99
Q05193 Q9UJU3
Q9BV35 O95613
Q07666 Q9UJY4
P53621 Q99LP6
Q8N3C0 P11712
P84243 P14598
Q8NFW1 Q8WTS6
Q9P016 Q93045
Q9H583 Q9Y2H9
Q9GZN7 P04925
O60281 Q15102
Q9Y618 Q9ULE3
Q8IZ26 Q06055
P26599 P62081
Q9NSC5 O75150
Q15303 Q9CWF2
P26038 Q969G3
Q9NVK5 Q96SK3
Q3V6T2 P83436
Q8BVF7 Q8IUQ4
P50990 O14607
Q86UF1 Q8N184
Q9BUK0 O75150
Q9Y3D6 O95071
Q9VWQ2 Q93077
Q13438 O95996
Q00613 P24369
O95613 Q9Y2V7
Q04837 Q9Y6D5
P52597 O15355
Q96B97 Q9H9L4
O94985 P10515
Q99LP6 Q76MZ3
O60603 O94892
P21579 Q9P2J8
Q9Z270 Q5JVL4
O75385 Q9Y2P0
Q6NX49 Q8TC12
Q6P2Q9 Q14165
Q7L8L6 Q09666
Q04837 O75581
Q9Y6B2 Q3T906
O60282 P48962
P51608 Q15691
P00846 Q9UHV7
Q9HCS7 Q99963
P14314 P51693
Q00613 Q8BVF7
Q9NQT8 O60341
Q9NVP1 P35241
O95258 Q13492
P48962 P68369
Q16543 Q96HQ0
Q9UNL4 P46108
P52907 Q15910
Q9GZT3 P27448
O14520 Q9UQ35
Q9UBB4 P53999
Q9Y5X2 Q9UII2
P50570 P39656
O43490 Q8TDY2
Q8TCD5 Q8NB50
Q9Y4P1 Q8WTR7
O15258 Q8N4G2
Q7KZN9 Q93050
P49903 P15253
Q9WV55 Q9Y2J2
P30101 P29762
Q14444 O94905
Q06455 Q96BD6
Q8NCW6 Q9HBI1
Q14197 Q13614
P04181 P35579
Q15427 Q96DZ5
Q14596 O75437
P48167 Q13151
Q96BI3 Q5TCY1
Q8NB50 Q16617
P53396 Q2KHR2
Q9Y2L9 Q9H2F5
O14964 O75448
P16858 P05165
O14776 O43776
Q96ST8 P61964
P49821 Q9C0H6
Q6VMQ6 Q6KCM7
Q9NZ42 P68368
Q96G01 Q9NRY4
Q15773 P46977
Q8IX21 O00154
Q7RTP6 Q8WWI5
P48201 Q06481
Q9P219 Q06730
Q16643 P15253
Q969J3 O00267
P39019 Q14315
O95070 Q76G19
Q9P0L0 P55809
Q13555 O75928
P52746 Q8WUD6
P16615 Q9NRH3
Q9Y277 P62745
Q15393 Q04695
Q71F23 Q5JRX3
Q63053 Q8BH59
Q9Z1G4 Q8WXI9
Q16555 Q9UNP4
Q8IVC4 P49207
P00558 Q8TBC5
O75431 P16402
Q00493 Q9UKN5
Q9NZZ3 Q99784
O14880 Q6ZNA1
O43181 Q8WXI2
P23193 Q9P2J5
Q8NFA0 P22392
Q7KZF4 O75746
A2IDD5 Q13438
P0C0S5 Q9UQN3
Q8TDZ2 Q8TF20
Q15059 Q86VV8
Q6NZ67 P06899
Q96EE3 Q07065
P52272 Q07065
P11137 Q8NF64
Q9UQ35 P33947
Q6PD62 P07384
P68134 P24863
Q15361 Q13049
P60468 Q86Y13
Q04837 Q9BQI5
Q9BZQ6 P35237
Q9P0M6 Q8TAG9
Q8NDI1 P56385
P33908 O43504
Q8TF20 Q96RF0
Q15005 Q92890
P35564 Q8TCD5
O15121 Q9BZZ5
O88935 P27348
P35659 Q99832
P46940 P61019
Q12882 Q9P2J8
P04843 P14598
Q9H7E2 Q5JPE7
Q12959 Q8TF01
P53999 P11532
Q00493 Q52LR7
P09874 Q9BPU6
Q00169 O95258
P36405 Q8IU99
Q14181 Q99719
P21912 Q15691
Q96JM3 P14625
O75069 Q9H6D7
P40926 P62191
Q15149 Q15393
Q13123 P21912
Q00765 P23193
P16615 Q8N488
P04925 O75037
Q99496 Q15084
Q58FF6 O60341
P20674 O43264
P31942 P05109
O75937 Q9NX95
Q9NQT8 Q12907
Q6PKC3 Q9H0J4
Q96K83 Q99574
Q9Y6H5 Q9Y3E1
Q8N8Z8 Q08AD1
P00414 P63001
Q9ULM3 O15258
P18583 Q9UHQ4
Q15149 Q04727
P33316 Q9HAD4
A2RRP1 Q9UGL1
P30049 P30622
P17987 Q9P0M6
P01912 P40926
P46100 Q5SW79
P46824 Q9HCD5
Q7L2E3 P08113
P63027 O75581
P52746 P57105
Q7Z7A1 Q7Z699
Q14195 Q9BZQ6
Q96JF6 Q8IU99
Q8IVG9 O15243
Q5SZL2 Q6ZNA1
Q12766 Q8IY31
Q00610 O60231
P46778 Q96BD5
Q9ULD5 Q13137
Q9Y2J0 Q9Y483
Q15084 P07814
P54252 Q92743
O14578 P68400
P56559 Q9P2B2
Q8WWM9 Q9Y618
Q9BRA2 Q9BV35
O75643 P39656
Q9UPA5 Q9HCZ1
Q08AD1 O75251
P05165 Q9NWB6
Q9UBS4 P04925
P28331 P53041
O43172 O00237
Q8VEM8 Q8IU99
P99024 Q9CR62
P29692 P31323
Q9BSJ8 Q9Y230
P11712 Q9BVA1
O43402 P07237
Q15910 P51572
Q14202 Q8WUW1
Q92610 Q99519
P21675 P06576
P56480 P55145
P07996 P46824
Q8N5Y2 Q9NY65
P27816 Q3KR37
P20930 Q8N9K5
Q9Y483 Q6NTF9
Q9H0U4 Q9UK11
Q15334 Q9UKX7
P35610 Q92609
P54725 P11586
P61009 Q9UP83
Q15438 P10632
P26368 P49368
Q9QUN7 P25705
Q5BJF2 O95782
Q9Y5Q8 Q9NQX3
P01130 Q12766
O76003 Q9H6F5
Q8TCU4 Q922R8
Q5JTJ3 Q99996
Q9H9L4 Q16617
Q08209 Q9UNL4
Q562R1 Q15906
Q9UJC5 P06730
Q9P246 Q05639
P23381 Q8WXB4
Q15424 Q9Y2D2
P34932 P11712
Q9UII2 Q9NXW2
P92208 Q9H2U2
Q8N2I2 Q16799
P35564 P33778
O14978 Q9QUI0
Q12959 Q15303
Q9P035 Q9C0K7
P29758 Q8TDR0
Q13614 Q07864
P17152 Q7RTP6
Q2M1K9 O75128
B5ME19 Q06055
P61956 P07237
Q9UNP4 P34058
Q96G01 Q8TBJ5
P07203 P01912
Q9H4G0 Q8N9K5
P16083 Q14588
Q7LBC6 O60641
Q06455 Q5TBA9
Q9H1H9 Q15459
Q00493 P62995
P62258 P10109
P04844 Q92947
P49006 P52597
P63001 P01912
Q9P246 P78406
P83436 Q9CR16
Q9C0H5 Q8WXD9
Q8TAS1 Q9BS40
O43150 Q15459
O75448 P49755
Q9NYP9 Q9UPA5
P61421 Q9UK11
P07996 Q12934
Q9NV70 Q3KR37
P55809 Q7L099
O60293 Q9NQR4
O70228 Q04323
Q96ND8 O95258
Q6ZNA4 Q9UHG2
P17844 O35887
P26367 P28676
Q6QNY1 P10606
Q9H9L4 O15121
Q15392 Q96MT8
P63017 P61009
O60239 Q9NRP0
Q15382 Q9P0U4
Q3B7T1 P49768
P10412 P06702
P25054 P52597
Q8BH59 Q9HCE3
Q9Y277 P09038
Q9P246 Q7L0J3
Q9UIV1 Q8TC12
Q14204 Q96QC0
P09619 Q9Y657
Q96BD5 Q15464
Q9UGL1 P24723
Q9P0M6 P30626
Q92667 Q93075
Q9HDC5 Q9HAV4
P05067 P01912
Q92947 O75069
O14607 P50502
Q9H1H9 Q06055
Q6UXN9 P13693
Q8TC07 O75525
P61294 Q86U28
Q61214 Q7L8L6
Q9UM00 Q8TEV9
O96008 P41250
Q9NZR1 Q04727
O70228 P05204
Q9BUJ2 Q8NEF9
P68400 O96008
P62273 Q6KC79
Q96F05 P56559
Q00325 P17600
Q86UF1 Q9WV55
O95258 P20618
P36776 Q96F07
Q9Y2V7 Q80W21
Q8TDJ6 O14647
P15884 Q3TDQ1
P10809 Q9BRP8
P35610 O94967
Q96EE3 Q5JY77
Q9Y3E1 Q5T0N5
P10606 Q9P246
Q9DC70 O60762
P50213 P68371
O00237 Q9UQB8
P28370 Q13509
Q9UNF0 O15121
Q8TC12 P14868
Q9NVZ3 Q9H6T0
P26599 P61294
Q96LB3 Q9H2X8
P61009 Q9H840
O75037 Q9Y5B9
P56211 Q8NFA0
P14314 O75382
O00471 Q15029
Q14195 Q8TF20
Q9H583 Q16543
Q9UBW7 P19021
P0C0S5 Q9NQR4
P56945 Q9UPW6
O88307 Q9P016
Q80W21 Q9NZL3
P07737 O75928
Q9BWC9 Q62421
Q6P2D0 P21964
Q9Y5B6 Q6ZS17
P22695 Q9Y5K6
Q8IY18 O15355
P46781 Q8N9K5
O75385 P17021
Q9GZT6 Q9P0L0
Q9Y383 Q61644
P52597 Q99714
Q91VZ6 P38647
Q9H4G0 Q9Y5B6
P04792 P36776
Q99JH7 P04181
Q9H0A8 Q6QI68
Q9WV92 Q9UBC2
Q8NCW6 Q01484
Q92625 Q14592
Q6ZN04 Q9UJY5
O95218 Q8NHQ1
Q6PKC3 Q9NQW7
Q8IVF4 Q15369
P42566 Q86XK3
Q9NVP1 P63001
Q96EP0 P60468
Q8VEM8 Q13098
Q5VTB9 P39019
P50502 P35250
Q9Y4J8 O75164
P03897 Q92609
Q6PKC3 P35125
O94955 Q9HAD4
O14776 Q8NCW5
Q05193 Q96G25
Q15393 Q309B1
P62495 O15126
Q9DC70 Q9HDC5
P30876 Q9UPA5
O75175 Q9UNL2
Q9ULH1 Q8NCW6
Q8N8N7 P48201
P50453 Q9Y5B9
Q96M27 Q9NRA8
P63241 Q3T906
Q9W0K0 Q8N5M9
Q96FX7 Q14155
P08621 Q9Y6R4
Q7LBR1 Q99LP6
Q9P219 Q8NB50
Q15651 Q13813
Q9P2E9 Q9NSD9
Q5T0N5 P35279
O60318 Q9Y277
P51881 O00273
O75132 P48962
O00237 O15085
P46063 Q9Y6D5
Q14697 Q9Y5A7
O43172 P00558
Q5SW96 Q86UP2
P28330 O60749
Q9UJY5 O95865
Q9H974 Q92878
P48201 P62191
Q58WW2 Q96CT7
Q13322 Q9Y657
O43181 Q99615
P78406 Q86UP2
Q93077 Q92734
Q9HCE3 P30622
Q9NRD5 Q16891
P06396 Q8NBB4
Q9P035 Q9BU02
P52434 Q9Y2V7
O75533 Q9H6S0
P42704 P30419
O95864 P22695
P62736 O88935
Q9NVI1 P06576
Q13310 Q61214
Q96MU7 Q13555
Q99584 Q99784
P68032 O60762
P18085 O75037
Q96LB3 O60281
Q99757 Q9Z140
Q91VR2 Q9Y473
O95881 P15104
Q96BD6 P61019
P67809 Q96BI3
P55145 P27816
Q8IZ52 P52740
Q96JF6 O75962
Q16891 P10826
O75251 P61353
Q06055 Q9Y5M8
Q9Y6Q5 P26367
O15160 Q9BQB6
O89112 P33121
O94967 Q8N184
Q9Y383 Q8TAG9
Q8WXI2 Q9Y2P0
O15235 P13861
P06753 Q9NS37
O43581 Q07864
Q9NYB9 Q15904
P08113 Q6PI77
P51881 P55795
Q8NCP5 P02689
P68368 O60341
Q9Y5W8 Q9BSJ8
Q93050 Q9P086
Q15365 P16615
Q9NVR2 P52907
O15382 Q9NWB6
Q14974 Q8IXL6
Q15691 Q9NVP1
Q9UKX7 P11586
Q99757 Q9UHD9
Q5VTR2 P61019
Q13435 P21912
P29692 Q8TBA6
Q9NYJ8 Q7Z699
O15121 Q08AD1
Q9UPR0 Q8TF01
Q9BQE3 Q96RE9
P30048 Q96FX7
P26196 Q9NR31
P07996 Q9HAV4
Q9C099 Q6UXN9
Q13303 Q9Y287
P55809 P10828
Q13620 Q02563
Q14204 Q922R8
P21359 P61421
Q9HDC5 O15015
P16298 Q92522
Q9NZ52 P78371
Q14789 Q9H444
Q03001 P51881
Q9NZL3 A2IDD5
Q06455 P49006
Q86UE3 Q9CQR7
P07947 Q8NDW4
Q96M27 P46060
A2IDD5 Q9UHQ4
Q16850 P12277
O00311 Q12959
Q9NZL3 Q8N8N7
Q80W04 Q9UQB3
O00311 Q02563
Q9GZU8 Q8IXL6
Q969R5 Q9UPR0
Q9UHQ4 O15085
Q9H4A3 Q00059
Q15788 Q6ZS17
P10632 P46527
P62979 P16615
P11137 Q6NTF9
Q3KR37 A0JNW5
Q86Y82 P24863
Q9NR11 P09496
Q9UJC5 Q99784
Q9ERD7 Q9DC70
Q12756 Q8N184
Q92947 Q52LR7
Q8TBA6 P35658
Q969K4 O95196
Q6P2Q9 Q8TDM6
Q8K3H7 Q9P016
Q9BZ95 Q96P47
O14978 Q9D6F9
Q8WWZ7 Q9ULW6
O95197 O95319
O43491 Q01081
P52179 Q96I99
P02766 Q96M27
Q9BX70 Q6P2D0
O95292 Q99963
Q9CR62 P11233
P31323 Q9Y6D0
P48962 Q02563
Q9H2F5 P28676
Q9H254 Q9UJY4
Q9H2X8 Q13099
Q13435 O15382
Q6P2C8 Q9H1K0
Q14588 Q6IBS0
P24863 P56480
P14868 P61019
P14136 Q15427
Q9H6F5 P33173
P07305 O14578
P98179 Q8IXL6
Q9UN86 Q12766
P62273 Q9Y383
Q3T906 Q2M1K9
Q96DT7 P10645
Q8TDM6 Q9P035
P15884 P62854
Q6ZW49 O96008
Q15047 Q92667
Q5SXM2 Q13561
Q9C093 Q12888
P28331 O95319
Q9H9H5 Q9Y3A2
Q9UHV7 Q8NFW1
Q06055 Q16531
P61019 O60231
Q8TEP8 P21506
Q9NZI2 Q9Y3D2
Q04323 P14625
Q7Z699 Q6QNY1
Q5T0N5 O14497
Q9P2E9 O15371
Q9HCE3 Q08378
Q13162 Q9D6M3
Q9BTA9 P07203
Q8NCW5 Q15125
P36957 Q9Y2D2
O00154 Q9UHB7
Q6NTF9 O35964
Q9H074 Q96K75
P35609 Q01538
Q9UID3 Q9Y6E0
Q9NQ66 P48449
Q9P246 Q07666
Q15042 Q9Y5Q8
Q05639 Q86Y82
Q6IPM2 Q5T3J3
O35964 Q9Y657
P62631 P51693
O60673 O15240
Q9BVK2 Q86U28
Q14571 Q96KQ4
Q9NYP9 Q9WV31
P53004 Q8BHN3
Q99666 Q8IU99
P13682 P20336
Q5XPI4 Q9P246
P55209 O75746
Q9Y4P1 Q9CQR7
P51649 Q8WUY3
O96013 P21912
Q99536 Q8NEK5
Q00688 P61019
Q92734 Q9ULW6
P61421 Q9P2B2
P28070 Q8IUR0
Q9Y5M8 Q9Y6X9
P21964 Q8WXF8
Q5VT06 Q9P246
P08133 P16401
P49006 O70228
Q8N660 P52740
P17302 O35180
Q9P2W9 Q96EY5
O75533 Q13867
O60641 Q9UJW8
Q9CQR7 Q99496
P07237 Q86UL8
Q96EE3 Q96G01
P07437 Q9H6T0
Q9UEY8 Q15459
P49327 Q8WXA3
O95163 Q91VR2
Q12931 Q5H9K5
Q5SW79 P22695
O00767 P51784
P08113 O00213
Q13303 Q9H9L4
P14211 Q8N9K5
Q14166 Q00059
Q9UL68 O96013
Q92616 Q8IX21
Q9NRN7 O95864
P51881 Q96SW2
P33240 Q9ULH1
Q9P0M6 Q9BPU6
Q14318 Q9BSJ8
P40227 Q9P0L1
A8MQT2 Q9NXR8
Q86XK3 P05109
O60762 P11940
Q3KR37 Q9NX45
Q8TC12 P62195
A0JNW5 Q9BVC6
Q6UB98 Q3T906
P23284 O35964
P26367 Q12907
Q9GZT6 P68134
P35609 Q8WYH8
Q9UHV7 Q14444
Q9UPW6 Q9C0B2
Q12769 Q8TCD5
A0FGR8 Q9UNF0
P19157 P11712
P52434 P35573
Q6PUV4 Q8NCW6
Q86WZ6 O95258
P61009 Q86WZ6
Q96EP0 Q96EU6
Q96DT7 Q15181
Q8IYB3 P62081
Q00059 Q9BRA2
P62314 P46977
P08237 Q9BQ70
P04181 Q8WV44
Q9NXR1 Q15029
Q86VP6 O75431
Q9NQX6 P20936
Q13347 P40692
O75251 Q6PD62
P29758 Q80W21
Q00059 P41208
P33121 Q9NQT8
A0JNW5 P21796
Q9P0J1 O75347
Q15084 P42858
Q9Y277 Q13642
Q16891 Q52LJ0
Q8IUR0 P48774
P05165 Q6QI68
P07996 Q9QUN7
Q8K3H7 Q9Y285
Q14203 Q15084
P60900 A0FGR8
O75431 Q8TC07
O95219 Q5JTJ3
P54687 P15884
P12023 O75581
Q9Z1G4 Q9P016
Q9CQR7 Q00535
P24369 Q86XZ4
O43896 Q8NCP5
P04181 Q9HD42
Q15181 Q96N64
P61019 Q8NI27
Q96RK0 O76094
Q8IZ52 Q13023
P12277 Q86U28
Q9HDC5 Q5SW96
Q9D1Q6 Q00613
P04843 P53990
P31040 Q9H0U4
P23284 P63010
P51687 Q15366
P61019 Q9NSB8
O00267 Q9NRH3
O15235 Q9NXR1
O75069 Q96I99
Q9NPC7 Q9NQT8
Q9BX68 O94985
P01130 P46379
A8MQT2 Q9UPV9
P20357 Q6P2D0
Q8TC12 Q9UPW5
Q9Y2D2 P04626
P31944 O95292
Q13398 Q9Y2L9
Q9UJY4 Q8WX92
P17152 B5ME19
P04844 Q5XPI4
Q9BZ95 P06753
Q8IX21 O43572
Q8TBC5 P49768
Q92522 Q8TCU4
Q9H1K0 O88935
P14136 Q8TF20
Q9BWC9 Q92616
Q04323 P16403
O94905 Q02790
P02766 Q99687
Q76G19 Q96HQ0
O95198 P16401
Q99627 P07996
O94850 P17152
P26599 Q9ULP9
Q6DJT9 Q9UJY4
O75448 Q92598
O75643 Q02878
Q99962 P31942
P48167 Q8WUA4
Q53R12 P25705
Q8NCP5 Q96S38
O00237 O96008
P48962 Q8TEX9
Q03157 O15121
Q80W21 Q9ULM3
P56385 Q9NQ66
Q96G01 P04406
Q9HDC5 P68368
Q3T906 P49454
P31946 P46100
P83436 Q9C0B1
Q99519 O15160
Q92600 Q8WWZ7
P62854 Q6DJT9
Q13310 O75746
P49769 Q14202
Q5T1M5 Q14789
O75569 Q5VZ66
P23927 Q96I99
P40429 Q9Y2D2
P31948 Q9UII2
Q9NZN3 Q9NR31
Q15014 Q9Y6X6
P78371 Q9HCE3
Q9P2W9 P58215
Q96P47 Q9Y3Y2
Q9GZX5 Q53R12
Q9C093 O95881
Q7Z3K3 P33260
P17302 P16989
Q9GZT6 Q9Y2J0
Q7Z3B4 Q96F05
P24369 Q8WWI5
Q76G19 Q76KP1
O75334 P48553
Q8IYE0 Q14202
Q8BVF7 Q8NEY1
O15067 Q5JRX3
P33316 Q9BVK2
Q5T0N5 P48201
Q16617 Q92664
O95258 Q08J23
Q9BS34 Q155Q3
Q96RT8 Q8N5Y2
P68134 Q8N8D1
Q9BX68 Q86YM7
Q3TDQ1 Q9NS56
Q8WVM7 P13861
P35610 Q15102
P15884 O75569
Q12888 Q9BSK4
Q9BZJ0 Q9UQB8
P49721 Q9P246
Q13796 P55809
P10412 Q9Y2I1
Q2TAA8 P62745
P61457 Q9UII2
P36776 Q9Y4A8
Q6AHZ1 O60229
P53804 Q9H9H5
Q12768 P48553
P38935 Q3TDQ1
Q9H0D6 O15372
P10636 Q52LR7
P43243 O95295
Q96KR1 Q9BQB6
Q9NVR2 Q5VTE0
Q9P035 Q8WXH0
Q15392 P38935
Q8N8N7 Q8NCP5
Q9P0J1 Q9BSL1
Q9Y473 Q8IXL6
Q16891 Q9BRK4
Q13177 Q8NFA0
P11233 Q06335
Q9NR80 P04156
P39748 Q9NZR1
P07384 Q7LBC6
P61289 O96008
Q02563 P26367
A0MZ66 Q9UBS4
P62736 P28331
Q86U28 Q96DU7
Q8N9B5 O00237
P52179 Q93075
Q9C040 Q8IXL6
P04156 Q15047
Q9Y266 P35610
Q9NZ52 P38935
P14927 Q14995
Q9BSJ8 Q8WWM9
Q9HCD5 Q9UPN3
Q9VWQ2 Q13438
Q12906 P56480
A0FGR8 Q9BUP0
Q9BRT6 Q9P2E9
A0JNW5 Q9H0D6
Q06455 Q16850
O14818 Q13948
Q96I99 Q14155
P68366 Q13023
Q60932 Q96MT8
Q07266 Q8N2I2
Q96PE3 Q8WWZ7
O75381 Q96N64
Q96G01 P32119
Q9Y265 O15235
Q8NFA0 Q5T0N5
P54725 O15382
Q6UB98 P50579
Q8N2K1 P55209
O43166 Q6KCM7
O75431 P63001
P67936 P52434
Q92610 Q9H765
P07900 Q99JH7
Q9UID3 Q99683
P61019 Q96P70
Q12882 P0C0S5
P01009 Q9NYB9
Q15014 Q9UKA4
P21796 Q9NQR4
P17600 Q9WV60
P35659 Q7L0J3
Q9NPJ6 P33908
P19157 O95196
Q9BSK4 Q9UQ35
P07237 Q9H2X8
Q15904 Q8IX03
Q9H0U4 Q9Y4Y9
O43768 Q13620
Q9P2Q2 Q8IUR0
Q6PKC3 Q96CN9
Q9P2E9 Q5T1M5
Q96R06 Q9Y618
Q9H6D7 O43490
Q16543 Q5JRX3
Q9C026 Q6PKC3
O75069 O75190
P19474 P04925
P10828 Q16643
P31150 Q9Y383
Q3B7T1 Q99962
Q9Y287 Q6IPM2
Q8NDI1 Q14494
Q96BD5 P04632
P15884 P21796
O43504 Q9BUK0
Q9CQV6 Q14789
Q9NVR2 Q15149
Q9Y483 O43504
P17152 P11766
P23381 P18085
Q7Z698 P61009
Q9HCD5 Q8BHN3
Q96BI3 P56559
P17152 P05455
P01130 Q9BY11
P43243 P35237
Q6ICL3 Q9Y6M1
Q8NFW1 P53804
Q6IPM2 Q9UQ35
P68371 Q9NP73
P54252 Q8N660
Q9WV31 O95258
P38159 Q9BU02
P46933 O75431
P54253 Q9UJY5
Q9Y3A2 P07203
Q12906 Q53GQ0
O15243 O95319
Q9H583 Q92614
Q8N5Y2 Q9HAD4
O14613 Q9BZK7
Q9DC70 Q14493
Q8WVM7 P21333
Q9Y6H5 Q9Y2P7
P48962 Q9NTX5
P52597 Q9C0D2
Q86UP2 Q92597
O60239 Q9Y2P7
Q92542 O95070
Q16617 Q5U623
O75525 Q5T1M5
Q96NK8 Q9BXC9
P59923 P12277
P06730 P51687
O95881 P23528
Q3TDQ1 P49792
O15540 Q06055
Q8WX92 P97432
Q9NP73 Q9Y4J8
Q04837 P61962
Q9C026 Q9NXR8
Q9Y2K5 O14827
Q7Z6L1 O60238
Q7Z460 Q8N8Z8
Q9BZJ0 Q0VGU4
Q14980 O75431
P25054 Q8NCW5
P31942 Q8WUD6
Q5SXM2 Q15334
P31946 P82933
O95196 Q8N3C0
Q9H0A6 P52736
P27348 Q13438
O14607 Q92625
Q13438 P35579
P62993 Q6PKC3
O75569 Q96K83
Q9UQ35 B5ME19
Q8NCW5 P60174
Q9BSJ8 Q15149
Q96G25 Q8WUW1
P46778 Q8WWI5
Q9NY93 P11532
Q9R0N5 P04040
P43034 P21796
P39656 Q8WXF1
Q969R5 Q99714
Q9BPU6 Q13435
Q9P246 Q7Z3K3
Q00610 Q14669
Q9Y5M8 Q13625
Q16891 Q07666
P40227 Q9NY93
O95881 P62258
O75962 Q96NJ3
P43155 P06241
P00505 P11441
Q8IY18 Q9H974
Q9Y3D6 Q9H1H9
P50570 Q8N184
P49773 O15121
Q66GS9 P52736
Q15084 Q6XE24
Q15784 Q9P219
Q62188 Q9BV35
Q00059 Q99584
Q86WH2 P17844
Q9Y2W1 P17600
P33316 Q9UPZ3
Q8C0C7 O95258
O94927 O94923
P27448 Q9Y5B6
Q15784 Q08209
Q9H6T0 P19021
Q8BW75 Q86XK3
P63027 Q9UKK9
Q9H2X8 Q64467
O95198 Q01538
Q7Z698 Q15361
P05165 O75534
P15253 P68032
Q04837 Q9Y6X2
Q9NS56 P36776
Q9Y383 Q14155
Q8WVM7 P01009
Q9Y4J8 P07910
O95273 Q86UP2
Q8IUD2 O60427
O43572 Q14571
Q9NZZ3 P62310
Q13948 Q9NQX6
Q13042 O60427
Q7L099 P36776
Q9P0L2 Q9HCM1
Q6ICL3 O15056
Q9UJU3 Q7Z460
O96008 Q9NQX3
Q8N987 O75437
Q13435 Q8BW75
Q6ICL3 Q9Y696
Q5TCY1 Q9H2U2
P20618 O15121
O43172 Q9UIF3
Q9GZN7 Q16891
Q6PJT7 P49810
O95865 Q14588
P48167 Q7Z6K1
Q96G01 P62631
O70228 P10632
P18085 Q9H6F5
P05165 Q96FV9
Q9UL68 Q96CW1
Q9BZJ0 P62273
Q99666 O94955
P00432 P17021
P46063 O60784
O15056 Q9UJW7
Q9Y5M8 P26368
O60281 Q9CQR7
Q8IY18 O43896
P10606 Q15717
Q8WWZ7 P16519
Q9Y5K8 Q8IZ26
P14854 Q13796
P62745 Q6PUV4
A8MQT2 P00432
O14782 Q9NT68
Q8BVF7 P23526
Q76KP1 Q92782
Q13042 P21359
P35279 P10909
Q9Z140 P39019
O15243 Q9BSJ8
P46939 Q8IYB3
P31040 Q9UJY5
P29966 Q7Z3B3
O95197 Q7RTP6
P13861 Q14137
P49418 Q96AE4
Q99757 Q12788
Q9HCZ1 Q02563
Q14444 Q76KP1
P00432 Q5VT06
O60673 P53621
P49006 Q9P0L1
Q14155 P55197
Q8IX21 Q9UQB8
P06899 Q00325
Q8IUD2 Q7Z699
Q86UL8 Q8BVF7
Q9HCZ1 Q6QI68
P55884 Q93077
O95881 P46460
P60468 P62273
Q9Y5S2 P01912
P57105 P31942
P55795 P16083
O75179 P00414
Q86YW5 P38646
P31942 Q9UQN3
Q9NV31 P21707
Q9NQ66 P49821
Q9ULH1 Q14669
P51608 Q9P2B2
O00479 P27816
Q15382 Q9Y383
P15104 Q9UIF8
P19021 P54252
Q92598 O88935
