O95400 Q9Y4W6
P0CAP2 Q9BSF4
P04181 P42338
P03893 P43243
Q15459 Q61062
P98161 Q9BT78
P05091 P09951
P31943 Q6NVY1
Q02978 Q12955
P10620 P63101
P82663 Q9P2X0
Q9BXY8 P30084
P15337 Q14152
P29692 A2AJI0
Q9UQD0 Q16822
Q9C0B0 O60315
O60337 Q9WVC0
Q9CQC7 Q80TJ1
Q8TCT9 Q13387
P67812 Q9UKV8
P04156 P62258
P08754 P99999
P83916 P63104
Q15437 P04925
Q92932 Q969V3
O60476 P27546
Q96IY1 O15260
O75190 P10620
Q13057 P31942
O75396 Q9BYN8
Q99755 Q9CR62
Q9Y6C9 Q13428
P20823 P13804
O95573 Q8IUD2
Q53QZ3 P67778
Q9NXE8 Q96HE7
Q9ULZ0 P61014
Q6YN16 P10109
Q12888 Q9JHJ0
P59999 O09111
Q6UN15 Q5NDL2
O60841 Q86WJ1
Q9HCC0 Q5TA50
Q9BVP2 Q13136
Q6NVY1 P33778
P69897 Q9GZU8
Q13263 Q9Y4G6
O60231 P07814
Q7L576 O95751
Q96A33 P61982
Q86Y82 Q9D6J6
Q9BVP2 O00124
Q92599 P52272
O15226 P07737
Q96EY7 Q8TAM6
Q91VR2 Q8TDD1
P61983 P46063
Q6MZP7 Q9UKA1
Q8TF39 P35279
P82921 Q7L5N1
Q96BY9 P62630
Q8IV08 Q5F1R6
Q12931 O15397
P55039 Q9Y305
Q12788 P56391
Q63716 O15042
P35232 P61006
P25705 Q96SB4
O43347 Q9ULC5
P61161 P09103
P32322 Q96GD0
P29590 Q91VD9
Q8WUM0 O00743
Q04837 Q8N2K1
P12235 P05067
Q9R0Q7 Q06710
O95140 Q7L014
Q9H3K6 P82650
P61163 Q8NBU5
Q9BSF4 Q7L5N1
Q9Y4W2 Q60930
P35354 Q14526
Q15437 P46063
Q9HD20 Q8WYQ5
O43396 Q92734
Q8R5C5 P62875
P98170 P22695
P35232 P46097
P62805 Q9DCT2
Q96IY1 Q9CPQ3
Q99708 O14579
Q12907 P19021
P06454 Q3KQU3
Q86Z02 Q99797
O00425 O95573
Q3UHD9 Q96TA2
Q8N983 O95070
Q16850 P68371
Q99797 Q14011
Q8N1F7 P21796
P07900 P82932
O00231 P27144
P62270 P42166
Q96TA2 Q15392
Q8IX21 P49327
P83916 Q9H2U2
Q9UKA4 O55143
Q6MZP7 Q9Y305
P46063 A6NHL2
P82921 Q9UKV8
Q9NYU2 Q99797
P63027 O95070
O15371 Q96KN3
O35244 Q96I25
Q92890 P45954
O75934 Q9NX20
Q8NFW8 P53396
O60282 Q03252
Q92552 P62875
Q5XKP0 P30520
P05141 Q96FV9
O43865 Q9CPQ3
Q03468 P20108
Q3V3N7 Q9Y3C6
Q15392 P48634
P61764 Q15084
P49411 P27546
P68372 Q9DC70
Q13428 Q9Y5L4
P82675 P61086
P24311 Q5XIF6
Q9H307 P56480
Q5T5U3 O95202
O14949 Q9H3N1
Q96BY9 P68255
P51991 O75843
Q9NZ42 Q9UQE7
P14136 Q13467
Q8IYH5 Q9H2G2
Q9GZL7 O35964
P28070 P48735
P63101 Q9H0S4
Q9UKU7 Q96CA5
Q9NV56 Q9DC70
Q9P2W9 O00148
Q9NXE4 P62328
Q8IUQ0 P62875
Q9CQQ7 P27816
O95171 P26368
Q99442 Q00534
P46097 Q13029
Q9DCS9 P16086
Q92558 Q05639
P68032 O60238
O14966 Q96AG4
O00217 O08849
Q6P9T8 P00405
Q9Y3C6 Q9UDT6
Q5SW79 Q9UHQ7
P82675 P49721
Q96A33 O15143
P30536 O14810
O94776 Q9CQC7
P35280 O94776
Q9D8B4 Q9GZZ1
P09936 Q9H845
P63279 P05091
O15371 Q02978
Q9UDT6 Q13823
Q53R41 P61021
Q8R081 Q9DCS9
P47869 O75533
Q9H9S3 Q13885
P50851 P08621
Q86X83 O95168
P42126 P22694
O96019 Q92519
Q5SRE5 P82650
P07384 Q9NSE4
P58281 P63041
Q9UIF8 Q9H2M9
Q96JP5 Q08188
P83916 P07437
P50570 P17152
O95793 P22303
P51398 Q9UDY2
P15531 Q9BYN8
P26639 P61019
Q9Y6C9 Q8NBU5
Q9QXS1 O00767
P19525 Q8NBQ5
Q8IWE2 Q9QXU9
O75150 D3Z8E6
Q86Y82 Q9Y5B9
Q8IV08 Q8NC51
P51398 Q9H2K8
P35579 O60264
Q7LBC6 O09111
Q9P0U4 Q5D862
O14576 Q9ERS2
Q96JM7 Q63610
P41250 P13995
Q9NX20 P23528
Q13620 Q9Y6C9
P10588 P41250
P39748 O00116
Q96HE7 Q15059
Q8TDZ2 P82650
Q99755 P67812
Q01105 P04040
Q5D862 Q8N1F7
P16402 Q12907
P61964 Q99797
P35249 Q9CPQ1
Q6ZMR3 P04156
Q96EK5 Q13907
Q8WWC4 P35249
Q7KZ85 Q9DBR7
Q14152 Q16576
Q9D6J5 Q14449
Q9H845 P25786
Q13153 Q8IV08
Q8NBJ5 P85108
Q6NVY1 P10412
O75400 P55084
Q14315 Q5T9A4
Q5H9L2 P04899
Q13637 Q99567
Q00839 O75306
Q96A33 P63041
Q9WVC0 Q13426
P20357 Q8IXI2
Q12840 P83436
Q9BZE1 Q99KJ8
Q63HQ0 Q92499
O95197 P67778
P78346 Q7Z6M4
Q5XIF6 Q03164
P07741 P50213
P49189 Q00688
Q9H5Q4 O94874
Q9P035 Q9EP89
Q9NTJ5 P56391
Q3UIU2 Q6NTE8
Q92558 O60524
O75376 Q9NUJ1
Q8N5G2 Q10713
Q12765 Q8N1G2
Q09666 O14949
P53804 P49411
Q9UM00 Q5RJI5
Q9NSE4 P40227
Q9NRW7 P20357
Q9UKM9 P50454
B5ME19 O00411
Q99426 Q15424
Q7Z7H8 Q6PUV4
Q8R1I1 Q8K2H1
P54136 P18085
Q16670 Q9P035
P41161 P35564
P22303 P68133
Q13888 P62917
O75688 O14776
P42285 P22059
Q9Y5L4 O95171
Q99442 P04179
Q9Y4W6 P97351
O94906 Q9HD33
Q5T653 Q5SYD0
Q07021 O95197
P50990 Q9Y3Z3
P05089 O43143
Q9H9S3 O35814
P00387 Q9GZR1
Q9P209 Q12769
Q9NZ01 O15047
Q14181 P05064
O15027 Q53R41
Q99797 Q9WV32
Q9BTP7 Q9JJM9
O60231 Q96IJ6
Q9CPW4 P00405
Q9QWI6 P25490
Q91X78 O60841
Q9Y3P9 Q15386
Q9BY32 Q9UQR1
P13995 Q15796
Q9NYU2 P56480
Q13185 P34926
P34058 Q969H8
Q96J02 Q5XKP0
O75746 O43889
Q15233 P23526
P83881 Q9BVI4
O35129 Q9BS26
Q9CQQ7 P16949
Q8IYB5 P12004
P35659 Q01581
Q86W54 Q9EP89
A8MXV4 P47869
O43290 Q96RT8
Q9Y5Q9 Q9D6J6
Q13426 P68511
P00338 P30533
P52948 Q9Y6W5
P07910 Q791V5
Q15738 Q96RS6
Q562R1 Q9BZE1
P51398 Q07666
P0DPB3 P40692
O43633 Q9Y4L1
Q9HCC0 Q12906
P82921 Q9NVU7
Q14919 O95140
Q8NF37 Q7YU24
P12270 O88935
Q99442 P11137
Q791V5 O15269
P16104 Q99666
Q6UN15 Q9P035
P16086 Q96T88
Q14331 O75306
P53804 Q9Y305
Q9HAT1 Q9Y295
Q9NV79 Q8IX21
Q9NY65 Q9D6J5
Q96HS1 P49915
P62195 Q8TCJ2
P42025 Q9H307
Q13129 O35095
A2CG49 P51814
Q8R418 Q14320
Q5VTR2 Q14790
Q15672 Q9BSF4
P16086 Q14789
P97473 Q9CZ13
P03921 Q05512
Q6NVY1 Q12800
O60313 P21802
O75964 Q9H3K6
Q8WUM0 Q9HD26
Q04727 Q9CQ69
Q6P1L8 Q9CQV8
O60476 Q15042
Q14257 Q9H334
Q92621 P12081
O43920 P42025
Q9HC35 Q6IPX3
P46013 Q8CHZ9
P62316 P61019
Q9CPQ1 Q9P258
Q9UM00 Q96PT4
P26368 Q6P1L8
P98170 Q5JTZ9
P28652 O15226
Q9C0C9 P12236
P62081 P53804
Q5JTZ9 O95486
P29373 Q13467
Q9D8B4 O00170
Q96I25 P40227
Q96L91 O14579
P55809 O95347
Q8WVN8 P61019
O00217 Q922F4
Q791V5 P40925
Q9QYA2 P63011
Q8WWQ0 Q9Y3P9
Q9BT88 Q9GZU8
O95140 Q9UBI4
Q78IK2 P20248
O00411 Q5NDL2
P60953 Q96NC0
Q99549 Q8IY33
O95168 Q09028
P05141 O43290
Q9CQV8 Q09666
P25789 Q96DV4
Q13177 Q9NRP0
P50454 P62495
O95197 Q15637
P52272 Q96GD0
Q2NL82 Q96PQ7
Q91WD5 Q9CVB6
P42684 Q14566
Q9NT62 Q8NF37
Q9H7L9 P98161
Q9BSH4 P68104
P99999 Q9NYF8
O55143 Q9Y6E0
P14136 Q6NTE8
O43156 P12236
Q13823 Q06055
Q8N5G2 Q14244
P60953 Q9QXX4
Q9NSE4 Q9UN86
Q15233 Q63610
Q96I99 P31942
Q96EY7 O15371
Q9NZU7 P20700
Q14241 Q61081
Q969N2 Q14011
Q9CQJ8 Q9Y618
O75525 Q9CPQ3
P82673 P78527
P50398 P82675
Q9DCS9 Q15796
Q8NBN3 Q86UE4
D3Z2R5 Q7L592
Q8WW12 Q96EK5
P47869 O00411
Q8TCT9 O60524
P12023 Q99551
Q15020 Q5XKP0
P55060 P08113
P12004 P05198
O00429 Q8IX21
O75369 Q8WUA2
P20340 P46063
Q96T88 Q8VHJ5
O95751 Q14444
Q14204 P78527
P58774 Q15393
P63027 Q5JTV8
Q9BQ69 O75369
Q9CPU4 Q9Y4B6
P54652 Q9D6M3
P56556 P15311
Q86UE4 P23368
P27824 O00273
Q60930 P35704
Q7KZ85 Q05084
Q01581 Q9H307
Q7LBC6 Q99442
P40227 Q8N2K1
P12235 P07199
Q86TJ2 Q5T749
Q9Y5K8 Q9D6J6
Q9NP79 P08559
O75643 P46781
P62826 Q10713
P15337 Q6P4A7
P23381 Q8VEM8
Q53R41 Q9Y2T7
Q15532 P11021
Q6PK81 Q9D6F9
Q9DCS9 Q01968
Q8VEM8 Q5SYD0
P22303 O75746
Q14241 P78368
Q9CXZ1 P05204
P29066 Q9H936
Q9BTP7 Q9Y3P9
Q9H2G4 Q9Y2Z4
P51991 Q9HD26
Q8WWC4 O75794
Q3UIU2 Q15427
Q9BRA2 Q9CPQ1
O00273 P35251
P46977 O14744
Q63470 P30536
P10109 Q9Y4W2
P17535 Q15031
Q9NRP0 Q96KN3
Q9BSJ8 Q6GQQ9
Q3UHK8 Q6L8Q7
P15146 O75306
P61019 Q9NRL3
O88477 P09951
Q8NBJ5 P60484
Q9Y3D6 O43396
Q9NXE4 Q9NSD9
Q6P4A7 O75821
P41227 Q9Y305
P04181 Q02410
O00273 Q14135
P41161 Q9BYT3
P27448 Q8NBU5
P21912 Q99459
Q01469 Q9CQH3
Q9H2K8 Q8IX21
P30048 Q12996
Q8VBT0 Q9ES53
Q63754 Q9Y657
P40938 Q63610
O95789 O75569
Q9UPY8 Q13428
Q14197 P68133
P11387 Q9NSD9
P46013 O75746
P55084 Q9UBN7
Q04727 Q9D023
P30101 Q9NV56
O14949 P11586
P45954 P61457
Q5BJF6 Q9NTJ5
O60476 Q9Y3I1
P49406 P30520
P22303 P31946
O95202 P28702
Q9Y5M8 P04075
O15269 Q5VTL8
P63041 O75600
P39023 Q9NZ45
P53597 O35964
P21802 P18583
P10620 Q9Y3D8
Q14790 Q9QXU9
P08237 Q99442
P49802 Q14135
Q9UKX7 Q16222
O95168 Q8TBC5
Q5C9Z4 P13995
Q9Y4R8 Q99LY9
Q13724 O43143
Q14966 P21579
O95573 P78371
Q53H12 O35526
P21912 Q9UKB3
Q6P4A7 Q13467
Q9Y6M4 P57740
Q8BZ98 O95197
Q13951 P10620
Q8K1M6 P61964
Q8N0T1 P00414
Q60932 Q14152
Q7LBC6 O00214
Q9CPP6 O95789
P23526 Q9HCC6
P23284 P68366
P51693 P46977
Q9UKB3 Q99442
O15260 Q791V5
O60282 Q04837
P16615 P48443
Q9BX66 Q9BQA9
P49406 P30622
P15146 Q5JPH6
Q8WWM9 Q3UIU2
O95573 P50402
Q5XI73 P43243
Q8NFW8 P07195
P62270 Q86TJ2
Q9HCP0 Q04727
O00217 Q9NRW1
P34932 O75844
Q14978 Q9DCS9
Q66PJ3 P30048
Q92932 P22087
O95847 P60174
Q13888 Q9BVA1
P49916 Q96S38
Q9H7L9 Q9Y3E7
Q9Y2D9 P27144
Q9QYR6 P24311
Q9Y484 Q00403
O94826 Q9QYR6
Q9D6M3 Q86UP2
Q9NTX5 Q9BVP2
Q99608 Q08116
Q9NRW7 P12882
Q13835 Q9EPJ9
Q9P2W9 Q5T447
Q8R1I1 P06899
O60229 Q12996
Q9HC44 P50851
P61294 Q9NW13
Q07864 Q9CQ75
O15047 Q08209
Q9QXU9 Q9P2X0
Q9Y2W1 Q13907
P21266 Q14919
Q14244 Q6YN16
O14966 Q969E4
P05141 Q9NRW7
P41743 Q811U4
Q13885 Q8IWZ8
P49207 Q63470
P07199 P42126
P26196 Q9CQJ8
P84091 Q9NPE2
P35232 Q5EBL4
Q5T5P2 P22033
Q01968 Q9Y3Y2
O96008 Q15020
P54136 Q9BRJ7
Q02248 Q9H488
P63143 Q5HY98
Q9Y2T2 Q9BTE3
P52907 Q06481
P60468 Q08J23
Q8WWK9 P10412
Q86V25 Q7L014
P11171 P54886
Q14919 P62820
O00629 O14874
P0CAP2 P14174
P58753 Q8WUM0
Q08116 Q7L014
Q86W54 P10719
Q5XI73 Q91VD9
Q8K310 Q9UQD0
P30876 P82673
P10242 O43920
Q9H8Y8 Q9UBU9
Q8IYB5 Q9CXZ1
Q12873 Q9QYA2
Q99848 Q8VHJ5
Q61387 O75688
P54819 O00299
O95295 Q6KAS7
P49327 Q9BSH4
P23921 P22695
P25490 Q9H6S0
Q99549 Q92930
P04156 Q9H936
Q15424 Q9NZ42
P53597 P62913
Q9BUF5 O60313
Q5T200 O35095
P00414 Q9QXS6
O60315 Q14964
Q15738 B2RUJ5
Q5BJF2 P13668
Q15208 O00217
Q92575 P47897
O14576 Q96IY1
Q8WWC4 P09936
Q96IJ6 Q12931
P13010 Q14318
Q02978 Q13546
P22303 Q6P9T8
Q07157 Q9UKV5
Q9Y2C2 Q8WWQ0
Q63481 Q9H307
Q5SRE5 Q04695
O35643 P49916
O43615 Q96CV9
Q9NX20 P21802
Q9UKN8 Q9Y3D3
P83436 P55809
O08539 Q9CZ13
Q8CJF9 O88935
Q9H936 P61353
Q6NW34 B5ME19
P00414 P15311
Q9ULZ0 Q9Y305
Q96TA2 Q8IYB9
Q13835 O75489
O14874 P0CAP2
Q01484 Q9Y5B9
P78332 P46821
O00186 Q9Y2D9
P63143 Q9P0L0
Q04837 Q13387
P53582 Q9D855
O95202 Q9BRA2
P63086 Q16850
Q5HY98 O55143
Q9H5V7 P51571
Q9D6J6 P63101
Q4QRB4 Q9CQ75
Q7Z4H7 O75581
Q13467 Q6ZVX7
P63101 P52736
P13010 P55884
Q6P1J9 Q5S006
Q13427 Q9Y3P9
Q3V3N7 P62805
P23368 P46060
P08865 Q9CR68
P62241 P20340
O60524 O43464
Q86UP2 O60841
P56556 P27546
Q9UI14 O60293
Q9BVP2 P42684
O14818 P10109
P30084 Q13546
Q7Z4V5 Q64516
P05198 Q9HC44
P08082 P35659
Q7Z7H8 Q14103
Q8WX92 Q86V25
Q8TDN6 O43819
O15068 P49736
P51693 P19388
Q9UKG1 O43819
Q13620 P61014
A4D1S5 O43684
P29341 Q14257
Q9H936 P27348
P19536 O60315
P68366 Q16822
P15924 Q08945
P47985 Q9UBI4
Q9CQV8 Q9P0J0
P54886 Q6ZMR3
P02545 Q5BJF6
O60341 P53007
Q13885 Q5H9L2
Q9BYN8 O75153
O75964 P07199
Q9CQ54 P62269
Q8TCJ2 Q5T5P2
Q9NW64 P53007
O14802 Q9BSH4
P38117 Q9BRS2
P45880 O75369
O75970 Q9QXX4
Q8NI22 Q9H6S3
P33778 Q99551
P49411 Q8K310
O55143 P62328
Q7RTP6 Q9CXZ1
Q13823 Q12765
O75937 P23242
Q61062 Q99797
Q5SRD1 Q9Y6A4
Q9UJW0 Q9Y5Q8
Q12765 Q5SRE5
P08574 Q05512
Q13595 P53396
P62495 Q8WW12
Q9UND3 Q92558
Q15059 O00116
P39019 Q9NP97
P36551 Q96CT7
P29066 P30275
Q12996 P48643
P63244 O75477
O95202 O43290
Q9BTP7 P22033
O75489 Q03001
Q5RJI5 Q96EY7
Q9Y3B4 O95197
Q9NU22 P18859
P12532 Q14651
Q53H12 P13010
Q99LC3 P20936
Q9Y5Q9 Q9Y3D6
O60488 O35964
Q5XKP0 Q92878
Q9NRL3 Q9UKV5
P67812 Q5T5Y3
Q969N2 P50570
Q05519 P07741
Q9UN19 P40938
Q8K310 O35095
Q8IWE2 Q96I25
P52736 P05089
Q13509 O43464
Q78IK2 P52655
Q60930 Q96JM7
P35564 O75964
Q5T653 Q13867
P62137 P07237
Q9BVP2 O75369
Q9H0A0 P63041
Q9Y3U8 Q9DCJ5
P53355 O94906
Q9BYX7 P99999
O43920 Q8IWX8
Q8IWZ8 P42025
Q9ULC5 Q9H0N0
Q91VR2 P61021
Q9BV20 P99999
P06241 P09951
Q96NC0 Q5D862
Q91VD9 P24666
Q6IBS0 P38117
O15042 O43776
Q7L2H7 O00483
Q62277 P19388
P40630 P35606
P58281 P41227
P27824 P05412
Q14257 Q86W54
Q5JRX3 Q15181
Q9BQ39 Q7Z2W9
Q63470 Q9NRL3
P61353 P05091
P49721 P49821
Q8NFT6 O60229
Q6P9K8 Q8WWY3
Q8IWZ6 P04179
Q92688 Q9D6J5
O35964 Q86UP2
Q9BQE3 Q5BKZ1
Q8NBS9 P63001
P04181 P00492
P05141 Q9CPU4
O95456 Q6NW34
Q9H2U2 P61026
Q03252 P10719
O75489 Q9NPI1
Q5JPH6 Q03001
Q13387 Q5XKP0
Q15631 P51649
Q92542 Q13243
Q9Y2I1 Q8N5F7
Q8TCT9 Q14151
Q5SYD0 O14802
Q13151 O95486
P18859 Q14978
P54886 P68510
Q8N983 Q13153
Q93009 P04179
Q8TCT9 Q99666
P40692 Q8TEU7
Q9CR62 A2AJI0
Q15637 O60308
Q8WUA2 Q61548
P09103 Q9UDY2
P61964 Q9P209
P84085 Q60932
O60337 Q9BW92
P60709 P03921
Q92734 Q13620
Q96T23 O14949
Q8IYH5 Q9UKA4
Q13185 P40925
O00139 Q9H845
Q05084 Q9Y2Z4
P42285 Q8N6T3
Q15233 Q9DB77
O60231 O00767
Q9UKN8 O14617
Q14139 P33778
Q96CW1 Q96A33
Q9Y291 Q5VT06
Q5NDL2 P00519
Q9BSH4 Q92522
Q5SRE5 Q9H2U2
Q9EP89 Q02878
Q9BYD1 Q13555
P19447 P84085
P53007 P53804
P34932 P05423
Q9CPQ3 O60869
Q9BZE1 Q9UHB9
Q9Y265 Q9BQA9
Q15628 Q96EY7
Q6P1J9 Q9BYT3
Q5T749 O15042
P97351 O94905
Q9DCT2 P60766
P16615 Q9BYD2
Q53R41 O60524
Q9D6M3 P14625
Q05048 Q811U4
P36542 P51863
Q9Z266 Q7Z2W9
P10109 Q9UHD9
Q13185 Q71U36
P42338 Q9Y291
Q9NP64 P52789
O14776 P08237
Q791V5 Q8IX12
Q9Y2Z4 P62266
Q64378 Q8N2K1
P82932 P51532
P56480 Q8TBC5
Q8NF37 P54727
Q9DBG3 O95140
P27546 P35637
P22695 P46977
P50454 Q8IY33
P02686 P27144
P61011 Q9CQ75
Q9WV55 Q9NRN7
Q9UBU9 D3Z2R5
Q9NRL3 P49406
P26038 Q92878
P08050 O43707
P51571 O00629
A6NK53 Q9JHJ0
P68032 Q9Y2Z4
Q9UBT2 Q9D6M3
Q9CPQ3 P28652
P42566 O43920
P13804 Q9H4B7
Q8WWC4 Q86YZ3
P05455 Q9UPY8
Q8WUM0 Q9Y3U8
P18859 Q9P0L0
P62191 O94905
P51812 Q9QXX4
A4D1S5 P09874
P20340 P99024
Q9WU34 P20823
P52272 P21579
P13804 P49407
Q12874 P63261
Q8N183 Q8WXF1
P17426 Q5C9Z4
O60488 P51991
Q9Y6C9 Q96NC0
Q86Y82 Q8TBM8
Q8NI60 P10126
Q13867 P19447
P55809 Q05193
P30520 Q15059
Q9NQW7 Q8N7H5
Q9Y2X3 Q9NRX5
P05198 P42166
Q9D6M3 Q9BV20
Q13428 Q9ES28
P20340 P10620
Q13823 Q3V6T2
Q9BRA2 P31930
P00918 Q9DCJ5
P36871 P82921
Q9H5Q4 Q5VWG9
Q99471 P30084
P59999 P10809
P06454 Q5T5P2
Q14257 P52292
P78527 P25325
Q5JTZ9 Q86WG5
Q9UKX2 P26599
P61956 Q9NRP0
Q9Z270 P25705
P30084 Q06830
Q99719 Q05048
Q8N6T3 Q8CHZ9
Q8K3J1 P57740
Q13185 P08082
Q96QA5 Q8K310
Q92542 Q99549
Q13469 Q6L8Q7
Q9HCE1 Q9CQQ7
Q99708 P00338
Q3V6T2 Q86TJ2
Q99442 P63329
P08621 P35606
P20248 P00414
P51553 Q91YQ1
Q5BJF6 Q7Z2W9
O15498 Q99567
Q14683 Q62848
P55795 Q99KY4
Q9BQE3 Q9CQH3
P13693 O95847
Q14011 O75581
Q14974 P51571
Q96NC0 Q9P2X0
P17535 P63261
O43488 Q9UQ35
Q96TA1 Q96L91
Q8IV08 P55809
P27144 P62318
P07437 Q9BZE1
P23193 O00139
Q8CHZ9 Q5RJI5
Q8CAQ8 Q13148
P62879 Q06481
P51571 P62270
Q12874 Q9Z266
Q9UN86 Q99551
Q13435 Q71U36
O15260 P00918
O35179 P82933
Q9UGP8 Q7TMF3
O15371 O75525
Q9BRJ7 Q9HD20
P09936 Q5T9A4
P08113 Q9Y6G9
Q8CHZ9 Q99873
Q7L0J3 P09874
O14974 P53597
Q06710 Q8BFZ3
O00411 P26583
Q14671 O60264
Q13427 Q62277
P06899 Q02978
Q78IK2 O00541
P36542 P06730
P38432 Q13310
P06454 Q8JZU2
Q9BQA1 P54886
Q16891 Q99KJ8
P61803 Q8N122
Q9Y5P4 Q9BQ39
O00154 Q9BRJ7
O43491 Q9CQJ8
P46977 Q4LE39
P52434 O75251
Q8WVN8 O75934
Q9Y5M8 P19332
Q92973 Q9D8B4
Q92616 Q60932
Q9Y2K1 P21333
O00767 P62960
Q8IXI2 Q3UHK8
P10412 Q6IAN0
P12004 O00411
P78371 P18085
Q5VWQ0 P68133
P14324 P49411
Q5SRD1 P23497
Q8IY33 P62805
Q9DCJ5 P17426
Q07020 Q5T9A4
Q9HD20 P07901
P61086 Q5T200
O14974 Q6P1J9
Q9Y2D9 Q9D6F9
O15068 Q6MZP7
P62495 Q92878
Q3V3N7 P05423
Q04727 P47757
P27824 P49454
Q9BUJ2 Q969H8
P10109 O14617
Q58FF6 Q15424
Q92538 Q9H3H9
Q9CZ13 Q14966
P42695 Q9UBI4
P50991 Q9EP89
Q9HD20 Q53R41
Q8N183 Q15233
P12882 Q8TBM8
O75934 P61765
Q9Y6W5 P08240
P04350 P53007
P62241 Q96AG4
Q9NWB7 Q9Y3B4
Q06587 Q8NFF5
P16615 P17275
Q9Y484 Q05048
Q9H832 Q8VBT0
O14874 Q9H8Y8
P12004 Q13191
Q9P209 P21912
P04156 O95819
P61160 O94826
Q12800 P31930
Q8WXA9 Q9UQB8
Q14139 Q14789
P06241 P22033
Q9UL68 P63143
Q5XKP0 P13797
Q13467 Q8K3J1
Q969E4 Q13347
P68369 Q9H8Y8
P31629 P35221
O60502 O43819
P08574 Q9NZN8
Q96BY9 Q9H0N0
Q9H936 Q9H467
P15146 Q8TDN6
Q99543 Q9UM00
P40692 Q58A65
Q13907 Q9BXM7
P16104 Q6NVY1
Q9Y6X8 P82663
Q9H7L9 Q13561
Q13618 Q5JRX3
O15226 P09496
Q01780 P49821
Q96L92 P61803
Q8WWC4 P06730
Q8NFT6 Q86X83
P04350 Q92878
P23368 O75970
P30533 P52564
O95789 Q8BH59
Q8NEW0 O14980
P31629 Q13387
P05412 Q9UKA4
Q9CPU4 P62879
Q9EP89 P53618
Q9NX20 P55795
P31324 Q6YN16
P51814 Q8QZZ8
Q9UM07 Q8NEW0
Q9NP79 P23284
Q9DC69 Q9JKK7
Q9CQV8 P12532
P61981 Q5JTV8
P16615 Q8NEY8
Q8WYP5 Q9CPP6
Q9BY43 P03888
O88477 Q7Z7H8
P61956 P63027
Q01081 P08752
P52907 O75844
P56480 Q9ERG0
Q9H334 O60476
Q9H1E3 Q13546
Q15532 Q8N2K1
Q92665 O15083
P56270 Q92538
Q05048 Q00169
Q7Z6M4 Q15796
P08574 P53621
Q9DCX2 O15347
Q9BT88 Q5T653
Q969H8 Q12906
P08113 P25398
Q8VBT0 Q96IJ6
Q53R41 P46462
Q811U4 P35579
P41250 P03911
Q96QF0 Q9BYD1
O60229 Q06587
P63041 O60341
Q6KAS7 Q96HS1
Q9BRJ7 O94973
P31943 Q02878
P36542 Q9D6F9
Q13907 P61006
Q62848 O95140
Q969N2 P53370
P28340 P07437
Q99LY9 P51863
Q96IY1 P22528
P21399 Q96NC0
Q6UN15 P12369
Q9ES28 Q99LY9
O15143 P12532
Q9BZH6 Q9BZE1
Q63450 P17302
P15121 Q6MZP7
Q9BYN8 Q8IYB5
P47985 Q9H5V7
P54274 Q14197
Q9NRW7 Q92621
P36542 P55072
Q13435 P08082
Q9BXJ9 Q3UIU2
P49321 Q5T9A4
Q9BQI5 P07199
Q99LC3 O00499
Q8IY81 Q04323
Q9Y383 O95405
Q9Y2X3 Q13561
O43920 Q96CS3
P55060 Q8IXI2
P60468 P68510
O15027 Q9HC44
Q8VEM8 A5YKK6
P62857 P56270
Q9R0Q7 P48735
P63244 P00405
P27448 Q9NP64
Q9NW13 P85845
P03921 Q96CT7
Q9Y3C6 Q93045
Q96J01 Q9BY32
Q7L0Y3 Q8K310
P51531 Q15149
P27448 O75964
P51571 P60484
Q12907 Q12931
P37231 Q9Y6C9
P10719 P62258
Q13888 O75396
P61161 P19404
Q969Q0 P61244
Q9QY76 Q8N6T3
O95218 Q9CQ75
Q9BYD1 P08592
P50579 Q15459
Q99551 Q14980
Q15596 P26374
Q9DC69 Q58FF6
P67809 Q9Y3D3
O00231 Q8N183
Q9BYD1 P43246
Q9D0M3 Q9NXE8
P30536 P63101
Q5HY98 Q5T5P2
Q9Y5P4 Q15059
O00139 P26368
Q86Y56 Q01081
O75533 Q9H9B4
Q9UKV3 Q8IY33
P35269 O00273
Q13509 Q96A33
Q9Y4W6 P05412
P49674 P54819
Q5XKP0 P62854
Q6NTE8 O60749
Q9Y305 P42285
Q9H3N1 O08599
Q9BTP7 Q16643
P30533 Q15018
O95573 P35280
Q8NBQ5 P35249
P58774 Q9UIG0
P10719 Q00403
Q12931 Q9WU34
P04156 Q9BSJ2
P31324 Q5VTR2
O43615 Q13620
P25106 Q9NTJ5
O43707 Q9DCS9
P09103 O00203
Q07266 O75150
Q01780 P82921
Q13136 P35249
P11177 Q15005
Q9NP72 O75844
Q15631 P03911
O15042 Q61387
P35564 P26583
Q9DCS9 Q969Q0
P12814 Q9BS26
Q8IWX8 O75600
Q9BT78 Q15031
O43491 Q9DC70
Q9UBI4 Q15393
P43243 P05064
Q12972 O75964
Q811U4 Q9HB71
P50502 Q15084
O75533 Q15813
Q9BYC9 Q5TA50
P39069 O75477
O43488 P17535
P30040 Q5H9L4
P18583 Q9D855
O95847 P63261
P39023 P30533
Q9P035 P26374
Q8JZU2 Q8WW12
P30536 Q13561
P49915 Q14919
P21107 P78527
Q13618 Q9NRP0
Q86Y82 Q9DCJ5
P56556 Q9H2A2
P50552 P25705
Q13151 Q9BW91
P35279 Q9BSF8
O94874 P30084
Q9UPQ0 P30260
